595084         0005562874000000000000170000000000000000000000000000000000000000000000000000000000000000000000004107811                                                                                             
595179689  V   000556287402000000000019000000000000000556287400000000000000000556287401000556287509000000000000                                                                                                    
595064689  V   000556287496000000000002000000000000000556287400000000000000000556287509000000000001000000000000                                                                                                    
595057689  V   000556287509000000000003000000000000000556287400000000000000000556287402000556287496000000000000                                                                                                    
595074692  V   000556287637000000000001000000000000000556287509000000000000000556287638000556287642000000000000                                                                                                    
595074692  V   000556287638000000000002000000000000000556287509000000000000000556287639000556287637000000000000                                                                                                    
595074692  V   000556287639000000000003000000000000000556287509000000000000000556287640000556287638000000000000                                                                                                    
595074692  V   000556287640000000000004000000000000000556287509000000000000000000000000000556287639000000000000                                                                                                    
595074692  V   000556287641000000000005000000000000000556287509000000000000000556287642000556287643000000000000                                                                                                    
595074692  V   000556287642000000000006000000000000000556287509000000000000000556287637000556287641000000000000                                                                                                    
595072692  V   000556287643000000000005000000000000000556287509000000000000000556287641000000000000000000000000                                                                                                    
